hotspot_id,time_block,historical_violation_count,centroid_lat,centroid_lon,estimated_delay_minutes,resource_cost,confidence_score
0,Wednesday_0300,38,12.913781872485487,77.63011806976469,59.0,3,0.3181818181818182
0,Wednesday_0400,156,12.913781872485487,77.63011806976469,236.0,3,0.8181818181818182
0,Wednesday_0500,157,12.913781872485487,77.63011806976469,237.5,3,0.9090909090909091
0,Wednesday_0600,108,12.913781872485487,77.63011806976469,164.0,3,0.9545454545454546
0,Wednesday_0700,92,12.913781872485487,77.63011806976469,140.0,3,0.7272727272727273
0,Wednesday_0800,89,12.913781872485487,77.63011806976469,135.5,3,0.8636363636363636
0,Wednesday_0900,24,12.913781872485487,77.63011806976469,38.0,3,0.36363636363636365
0,Wednesday_1000,3,12.913781872485487,77.63011806976469,6.5,1,0.09090909090909091
0,Wednesday_1100,1,12.913781872485487,77.63011806976469,3.5,1,0.045454545454545456
0,Wednesday_1800,5,12.913781872485487,77.63011806976469,9.5,1,0.18181818181818182
0,Wednesday_1900,59,12.913781872485487,77.63011806976469,90.5,3,0.4090909090909091
0,Wednesday_2000,135,12.913781872485487,77.63011806976469,204.5,3,0.7727272727272727
0,Wednesday_2100,167,12.913781872485487,77.63011806976469,252.5,3,0.9545454545454546
0,Wednesday_2200,94,12.913781872485487,77.63011806976469,143.0,3,0.8181818181818182
0,Wednesday_2300,63,12.913781872485487,77.63011806976469,96.5,3,0.7272727272727273
1,Friday_0400,3,12.906838334899927,77.69658007283259,6.5,1,0.045454545454545456
1,Friday_0500,4,12.906838334899927,77.69658007283259,8.0,1,0.045454545454545456
1,Friday_0600,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Friday_0700,15,12.906838334899927,77.69658007283259,24.5,2,0.045454545454545456
1,Friday_0800,4,12.906838334899927,77.69658007283259,8.0,1,0.045454545454545456
1,Friday_1000,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Friday_2100,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
1,Friday_2200,10,12.906838334899927,77.69658007283259,17.0,2,0.09090909090909091
1,Friday_2300,2,12.906838334899927,77.69658007283259,5.0,1,0.045454545454545456
1,Monday_0200,1,12.906838334899927,77.69658007283259,3.5,1,0.045454545454545456
